datestart,ADBE,ADP,ADSK,AKAM,ALTR,ALXN,AMAT,AMGN,AMZN,APOL,ATVI,BBBY,BIDU,BIIB,BMC,BRCM,CA,CELG,CERN,CHKP,CHRW,CMCSA,COST,CSCO,CTRP,CTSH,CTXS,DELL,DLTR,DTV,EA,EBAY,ESRX,EXPE,FAST,FFIV,FISV,FLEX,FLIR,FSLR,GILD,GMCR,GRMN,HSIC,ILMN,INFY,INTU,ISRG,JOY,KLAC,LIFE,LINTA,LLTC,LRCX,MAT,MCHP,MRVL,MU,MXIM,MYL,NFLX,NIHD,NTAP,NVDA,NWSA,ORCL,PAYX,PCAR,PCLN,QCOM,ROST,SBUX,SHLD,SIAL,SIRI,SNDK,SPLS,SRCL,STX,SYMC,TEVA,URBN,VMED,VOD,VRSN,VRTX,WCRX,WFM,WYNN,XLNX,XRAY,YHOO
21-Jun-12,4703,8,400,119,1834,15,22,62,54254,12,222,0,208,5,27,53,10,420,172,2,2,1918,2074,2386,4,109,387,15604,321,1451,190,19947,25,323,21,8,46,15,4,125,6,90,2322,14,164,99,217,3,9,0,25,14,2,1,855,5,0,41,4,50,9361,0,230,2259,230,9326,38,13,61,502,5,46818,15,0,17,904,1772,4,11,393,5,1356,293,6590,33,1,3,1015,3,22,1,33384
22-Jun-12,7138,7,385,44,1898,22,15,49,62761,5,371,0,292,5,17,93,5,83,119,1,2,2954,2923,2787,2,117,418,15682,454,1841,405,22562,25,242,18,15,22,15,3,679,9,85,1560,8,175,100,138,4,2,0,45,7,10,0,1370,2,2,12,2,39,11447,2,225,2349,189,4038,21,19,71,492,10,38525,14,0,24,658,2358,7,4,661,1,1507,365,3125,16,7,3,1469,23,16,4,35854
5-Jul-12,3999,7,375,35,1432,5,24,57,67582,0,606,0,265,31,8,209,5,23,134,1,0,2151,2749,3975,1,79,372,17516,420,1476,282,24011,28,355,39,5,27,9,4,21,6,176,2046,3,239,125,175,4,8,0,17,123,0,7,426,8,1,29,1,49,16035,6,128,1912,770,2994,20,18,164,562,99,33314,11,0,19,563,3239,58,107,234,7,2074,556,3911,22,1,1,1256,9,27,6,31682
9-Jul-12,4179,25,333,92,1271,11,30,23,66103,8,1150,0,378,16,11,72,1,61,179,40,4,2394,2466,2521,2,127,382,18064,438,1328,272,23754,32,301,29,31,93,29,7,174,3,92,1727,21,149,246,187,2,10,0,14,9,5,3,320,12,3,18,3,124,14165,1,137,1663,119,3727,29,23,107,253,11,35320,21,0,346,686,2831,52,40,401,5,1882,412,3599,50,10,75,1348,3,30,4,32721
10-Jul-12,4112,8,833,55,1332,7,415,31,61401,15,939,0,374,6,7,68,3,14,135,14,2,7255,2333,2579,2,65,528,16709,393,43290,265,24150,16,444,16,33,38,21,6,62,15,49,2339,10,162,216,229,5,10,0,38,40,4,7,434,5,3,15,13,76,14570,2,158,2290,73,6511,32,30,140,201,28,39764,17,0,59,737,2772,79,10,493,7,1677,540,3332,19,7,16,1465,5,18,2,30556
11-Jul-12,4411,15,438,62,1539,13,70,56,72809,7,2779,0,311,3,9,78,8,12,129,1,3,12563,2338,2947,12,66,476,18007,423,62742,336,24008,12,1809,73,4,39,23,12,59,6,79,1950,14,172,302,312,14,15,0,39,40,3,2,552,6,2,9,0,75,19299,6,195,2155,205,4816,35,44,106,324,3,38748,14,0,27,674,3434,53,15,999,5,1995,558,9233,15,1,9,1348,6,33,5,31041
12-Jul-12,5480,19,352,46,1792,4,28,33,69761,4,1118,0,221,9,7,30,3,205,105,3,2,4997,2912,3055,2,89,466,17195,430,22306,263,25180,18,481,87,8,27,20,2,21,14,164,1951,2,169,1448,292,3,10,0,21,87,0,114,1302,7,1,5,9,49,15331,3,189,667,539,3324,33,14,100,316,12,40376,79,0,38,625,2422,51,6,630,4,1689,1471,4677,21,14,3,1431,4,21,3,76434
13-Jul-12,5433,9,358,94,1188,1,7,40,66908,10,889,0,516,6,27,36,5,41,112,11,1,4322,3286,2612,2,121,382,14871,469,14889,323,23041,69,283,47,29,16,30,3,417,43,89,2488,6,195,350,186,3,4,0,12,45,2,11,766,1,2,4,7,80,15079,9,174,3282,304,3120,40,17,101,332,5,65032,19,0,19,668,2134,119,7,779,7,1689,805,3443,32,2,6,1739,9,34,7,46018
23-Jul-12,3972,23,400,101,1602,13,6,78,82931,2,407,0,1433,13,7,45,3,13,174,3,9,3379,2572,3617,3,87,389,17398,375,2316,451,25219,40,327,26,13,22,15,13,46,17,24,1451,4,408,252,180,13,1,0,48,15,4,3,445,10,0,5,2,62,14468,1,309,932,2263,3223,13,23,82,1348,3,70169,8,0,33,1022,6446,25,10,407,1,1704,354,3861,31,8,7,1219,18,20,7,38270
24-Jul-12,4936,36,517,97,1569,6,18,37,72272,9,237,0,962,52,14,336,3,13,160,6,5,4530,3426,4395,13,125,541,19242,440,4883,275,24563,33,302,17,35,69,22,21,107,56,60,1345,5,230,271,244,18,6,0,76,25,15,0,433,11,2,10,5,60,22661,3,172,1651,660,3666,29,142,95,2907,7,42614,38,0,107,788,2866,37,3,416,1,2738,642,3490,18,1,2,1400,18,25,2,37493
25-Jul-12,5699,23,400,221,1491,65,20,45,73480,11,587,0,259,15,17,1232,6,38,146,3,12,3797,2505,3151,14,110,570,17020,415,3014,209,24539,30,1545,17,27,55,39,7,106,14,54,1629,2,166,318,251,16,2,0,53,25,15,7,362,10,1,4,9,93,16035,0,168,1031,180,4242,23,49,130,1663,20,46432,49,0,76,810,2530,56,14,1823,8,1983,618,3112,32,6,11,1990,3,32,5,35250
26-Jul-12,4908,25,506,232,1399,31,3,338,64115,4,277,0,285,11,14,209,2,71,137,0,5,3106,2617,2654,1,79,427,14550,397,2150,221,22687,29,430,22,25,18,20,14,53,23,27,1198,6,117,163,191,2,5,0,29,12,4,11,296,5,4,1,35,78,12983,0,134,1614,492,2977,18,27,99,633,25,35443,75,0,52,696,2247,12,41,527,1,2162,320,2595,47,4,6,1824,1,31,3,32296
